site_no,extrusive_volcanic
06827000,0
06835500,0
06848500,0
07142575,0
07155590,0.00808725008724997
06836500,0
07228000,0.00446459353274396
06449100,0
08080700,0
06794000,0
07299890,0
06461500,0
06768000,0
07140850,0
06768035,0
06800000,0
06447500,0
06792500,0
07138070,0
06449500,0
06799100,0
07143665,0
06834000,0
07233500,0
06768020,0
06799350,0
07144910,0
06824000,0
06773500,0
06796500,0
06764880,0
06824500,0
06785000,0
06827500,0
06449000,0
06772775,0
06446700,0
07235000,0
07139000,0
06464500,0
06674500,0
07143300,0
06797500,0
06799315,0
06821500,0
06769000,0
07141900,0
07141220,0
07142300,0
06837000,0
07142680,0
06793000,0
06772898,0
06852500,0
06844500,0
06775500,0
06464100,0
06799000,0
06853020,0
06652000,0
06770500,0
07143330,0
07141300,0
07234000,0
06794650,0
06843500,0
07156900,0.00358977477543525
06795500,0
07157500,0
06847900,0
07144100,0
07143672,0
07143375,0
06880800,0
06847500,0
07295500,0
06657000,0
06670500,0
06775900,0
06769525,0
06847000,0
06786000,0
06784000,0
06785500,0
07144200,0
06853500,0
06770200,0
06762500,0
06828500,0
06823000,0
06823500,0
06846500,0
06845110,0
07141780,0
07141200,0
06838000,0
